s_merge_id,classroom_id,student_id,friend_1,friend_2,friend_3,support_1,support_2,support_3,el
112695_171,1126951,1126951171,1126951223,1126951142,1126951217,1126951142,1126951207,1126951223,yes
112778_189,1127781,1127781189,1127781143,1127781149,1127781159,1127781149,1127781143,1127781159,yes
112797_106,1127971,1127971106,1127971121,1127971110,1127971107,1127971121,1127971107,1127971110,yes
112884_164,1128841,1128841164,1128841101,1128841142,1128841158,1128841101,1128841142,1128841134,yes
112540_134,1125402,1125402134,1125402118,1125402251,,1125402119,1125402118,,yes
112557_146,1125571,1125571146,1125571138,1125571135,1125571120,1125571120,1125571135,1125571138,yes
112624_191,1126241,1126241191,1126241149,1126241150,1126241153,1126241182,1126241150,1126241153,yes
112723_385,1127233,1127233385,1127233134,1127233450,1127233422,1127233262,1127233134,1127233450,yes
112557_125,1125571,1125571125,1125571154,,,1125571151,1125571102,,yes
112800_179,1128001,1128001179,1128001191,1128001183,1128001129,1128001190,1128001182,1128001109,yes
134971_187,1349711,1349711187,1349711117,1349711143,1349711133,1349711116,1349711143,1349711153,yes
112825_121,1128251,1128251121,1128251172,1128251158,1128251167,1128251172,1128251158,1128251167,yes
112675_127,1126752,1126752127,1126752179,1126752200,1126752167,1126752153,1126752167,1126752201,yes
112611_114,1126111,1126111114,1126111103,1126111102,,1126111141,1126111117,1126111103,yes
112739_200,1127392,1127392200,1127392162,,,1127392162,,,yes
112666_184,1126662,1126662184,1126662212,1126662167,1126662380,1126662358,,,yes
112855_132,1128551,1128551132,1128551112,1128551114,1128551120,1128551112,1128551120,1128551105,yes
112611_146,1126111,1126111146,1126111106,1126111162,1126111186,1126111102,1126111147,1126111103,yes
112681_165,1126811,1126811165,1126811120,1126811144,1126811131,1126811144,1126811120,1126811131,yes
112584_169,1125841,1125841169,1125841198,1125841176,1125841173,1125841198,,1125841173,yes
112729_151,1127291,1127291151,1127291143,1127291154,1127291160,1127291139,1127291147,1127291154,yes
112835_153,1128351,1128351153,1128351194,1128351157,1128351165,1128351157,1128351194,,yes
112854_179,1128541,1128541179,1128541145,1128541114,1128541165,1128541145,1128541155,1128541163,yes
112854_140,1128541,1128541140,1128541141,1128541138,1128541160,1128541141,1128541160,1128541101,yes
112667_160,1126671,1126671160,1126671192,1126671170,1126671156,1126671192,1126671170,1126671156,yes
112667_120,1126671,1126671120,1126671210,1126671110,1126671112,1126671210,1126671110,1126671112,yes
112671_348,1126711,1126711348,1126711156,1126711372,1126711130,1126711372,1126711174,1126711156,yes
112730_191,1127301,1127301191,1127301181,1127301155,,1127301181,1127301155,,yes
112790_193,1127901,1127901193,1127901185,1127901172,1127901189,1127901155,1127901172,1127901185,yes
112777_227,1127771,1127771227,1127771229,1127771199,1127771152,1127771229,1127771199,1127771152,yes
112850_145,1128501,1128501145,1128501123,1128501142,1128501109,1128501112,1128501135,1128501114,yes
112764_160,1127642,1127642160,1127642204,1127642128,1127642164,1127642144,1127642128,1127642164,yes
112610_114,1126101,1126101114,1126101104,1126101113,1126101103,1126101102,1126101142,1126101107,yes
112785_182,1127851,1127851182,1127851176,,,1127851176,,,yes
131459_121,1314591,1314591121,1314591112,1314591128,1314591106,1314591124,1314591113,1314591128,yes
112785_111,1127851,1127851111,1127851108,1127851101,1127851121,1127851121,1127851108,1127851101,yes
