fs_classroom,fs_school_id,fl,fs_student_id,emot_1,emot_2,emot_3,academic_1,academic_2,academic_3
1125441,112544,1,1125441202,1125441247,1125441215,1125441263,1125441263,1125441257,1125441236
1125441,112544,1,1125441261,1125441212,1125441239,1125441209,1125441244,1125441239,1125441209
1125441,112544,1,1125441207,1125441220,1125441214,,1125441220,1125441263,1125441257
1125441,112544,1,1125441212,1125441239,1125441261,1125441244,1125441239,1125441244,1125441229
1125441,112544,1,1125441215,1125441202,1125441263,1125441265,1125441202,1125441212,1125441218
1125441,112544,1,1125441230,1125441229,1125441228,1125441244,1125441229,1125441225,1125441244
1125441,112544,1,1125441251,1125441224,1125441208,,1125441208,1125441217,
1125451,112545,1,1125451210,1125451235,1125451241,1125451209,1125451252,1125451247,1125451251
1125451,112545,1,1125451240,1125451219,1125451286,1125451212,1125451286,1125451219,1125451212
1125451,112545,1,1125451213,1125451205,1125451232,,1125451285,1125451217,1125451237
1125451,112545,1,1125451236,1125451237,1125451271,1125451247,1125451271,1125451237,1125451239
1125451,112545,1,1125451270,1125451267,1125451272,1125451208,1125451208,1125451267,1125451272
1125451,112545,1,1125451207,1125451244,1125451245,1125451253,1125451245,1125451244,1125451253
1125451,112545,1,1125451236,1125451222,1125451217,1125451233,1125451233,1125451222,1125451217
1125451,112545,1,1125451237,1125451236,1125451239,1125451271,1125451271,1125451236,
1125451,112545,1,1125451232,1125451272,1125451270,1125451217,1125451231,1125451226,1125451246
1125451,112545,1,1125451286,1125451240,1125451212,1125451219,1125451219,1125451240,1125451225
1125451,112545,1,1125451223,1125451275,1125451216,1125451280,1125451278,1125451266,1125451261
1125451,112545,1,1125451283,1125451202,1125451264,1125451216,1125451256,1125451241,1125451222
1125451,112545,1,1125451232,1125451212,1125451286,1125451240,1125451212,1125451219,
1125451,112545,1,1125451216,1125451218,1125451276,,1125451273,1125451218,1125451281
1125451,112545,1,1125451214,1125451253,1125451215,,1125451253,1125451235,1125451215
1125451,112545,1,1125451267,1125451270,1125451272,1125451208,1125451208,1125451270,1125451286
1125451,112545,1,1125451237,1125451268,1125451230,1125451217,1125451268,1125451230,1125451217
1125451,112545,1,1125451244,1125451245,,,1125451245,,
1125451,112545,1,1125451285,1125451267,,,1125451267,,
1125451,112545,1,1125451206,1125451242,1125451251,1125451210,1125451265,1125451255,1125451228
1125451,112545,1,1125451233,1125451236,1125451281,,1125451213,1125451236,1125451241
1125451,112545,1,1125451265,1125451201,1125451244,1125451240,1125451207,1125451220,
1125451,112545,1,1125451205,1125451213,1125451231,,1125451220,1125451237,1125451269
1125451,112545,1,1125451227,1125451247,1125451244,1125451248,1125451235,1125451238,1125451247
1125451,112545,1,1125451217,1125451236,1125451233,1125451222,1125451281,1125451236,1125451243
1125451,112545,1,1125451219,1125451240,1125451286,1125451212,1125451212,1125451240,1125451286
1125451,112545,1,1125451284,1125451261,1125451266,1125451267,1125451261,1125451266,1125451267
1125451,112545,1,1125451212,1125451219,1125451240,1125451233,1125451286,1125451240,1125451233
1125451,112545,1,1125451243,1125451248,1125451247,1125451204,1125451248,1125451247,1125451251
1125451,112545,1,1125451203,1125451231,1125451269,1125451278,1125451218,1125451231,1125451278
