classroom_id,s_merge_id,bs_m_score,school_id,student_id,high_eyes,high_raven,bs_b_score,high_bangla,high_math,friend_1,friend_2,friend_3,support_1,support_2,support_3
1128541.0,112854_185,,112854.0,1128541211.0,no,no,,no,no,1128541213.0,1128541252.0,1128541251.0,1128541250.0,1128541213.0,1128541252.0
1128551.0,112855_135,,112855.0,1128551225.0,no,no,,no,no,1128551212.0,1128551219.0,1128551500.0,1128551204.0,1128551208.0,1128551213.0
1128581.0,112858_195,8.0,112858.0,1128581250.0,yes,yes,21.0,yes,yes,1128581238.0,1128581221.0,1128581202.0,1128581222.0,1128581249.0,1128581238.0
1128582.0,112858_291,,,1128582.0,no,no,,no,no,,,,,,
1128583.0,112858_213,5.0,,1128583.0,no,no,17.0,yes,no,,,,,,
1128584.0,112858_287,8.0,112858.0,1128584207.0,yes,yes,16.0,no,yes,1128584225.0,1128584230.0,1128584224.0,1128584239.0,1128584211.0,1128584222.0
1128841.0,112884_145,4.0,112884.0,1128841251.0,no,yes,22.0,yes,no,1128841222.0,1128841237.0,,1128841205.0,1128841222.0,1128841237.0
1314591.0,131459_130,3.0,,1314591.0,yes,yes,18.0,yes,no,,,,,,
1338701.0,133870_119,4.0,,1338701.0,no,yes,13.0,no,no,,,,,,
1341191.0,134119_101,6.0,134119.0,1341191233.0,yes,yes,14.0,no,yes,,,,1341191219.0,1341191203.0,1341191253.0
1346301.0,134630_102,5.0,134630.0,1346301221.0,no,no,17.0,yes,no,1346301224.0,1346301241.0,1346301222.0,1346301241.0,1346301246.0,1346301245.0
1353181.0,135318_127,6.0,135318.0,1353181217.0,no,no,19.0,yes,yes,1353181227.0,1353181238.0,1353181247.0,1353181209.0,1353181237.0,1353181203.0
1370211.0,137021_152,10.0,137021.0,1370211245.0,yes,yes,24.0,yes,yes,1370211244.0,1370211243.0,1370211220.0,1370211220.0,1370211243.0,1370211234.0
,112666_278,6.0,,,no,no,18.0,yes,yes,,,,,,
,112790_123,3.0,,,yes,no,14.0,no,no,,,,,,
,134119_183,8.0,,,yes,no,23.0,yes,yes,,,,,,
,112779_139,3.0,,,no,no,3.0,no,no,,,,,,
,112792_603,,,,no,no,,no,no,,,,,,
,112790_279,,,,no,no,,no,no,,,,,,
,112584_182,4.0,,,no,yes,14.0,no,no,,,,,,
,112623_619,,,,no,no,,no,no,,,,,,
,112726_212,2.0,,,no,no,13.0,no,no,,,,,,
,112846_164,,,,no,no,,no,no,,,,,,
,112792_105,,,,no,no,,no,no,,,,,,
,112675_263,,,,no,no,,no,no,,,,,,
,112791_615,,,,no,no,,no,no,,,,,,
,112677_157,,,,no,no,,no,no,,,,,,
,112800_199,1.0,,,no,no,5.0,no,no,,,,,,
,112667_252,7.0,,,no,yes,22.0,yes,yes,,,,,,
,112609_153,,,,no,no,,no,no,,,,,,
,112620_104,,,,no,no,,no,no,,,,,,
,112667_257,,,,no,no,,no,no,,,,,,
,112666_413,8.0,,,no,yes,12.0,no,yes,,,,,,
,112544_150,3.0,,,no,no,18.0,yes,no,,,,,,
,133870_605,,,,no,no,,no,no,,,,,,
,112591_145,,,,no,no,,no,no,,,,,,
,112675_128,5.0,,,no,yes,14.0,no,no,,,,,,
,112785_143,4.0,,,no,no,6.0,no,no,,,,,,
,134630_164,4.0,,,yes,yes,20.0,yes,no,,,,,,
,134630_103,2.0,,,no,no,13.0,no,no,,,,,,
,112848_166,3.0,,,yes,yes,17.0,yes,no,,,,,,
,112800_614,,,,no,no,,no,no,,,,,,
,112685_183,,,,no,no,,no,no,,,,,,
,112773_221,,,,no,no,,no,no,,,,,,
,112675_242,6.0,,,yes,yes,24.0,yes,yes,,,,,,
,112826_179,6.0,,,yes,no,11.0,no,yes,,,,,,
,112731_705,3.0,,,no,no,13.0,no,no,,,,,,
,112722_229,4.0,,,yes,yes,20.0,yes,no,,,,,,
,112772_131,4.0,,,yes,yes,14.0,no,no,,,,,,
,112779_182,,,,no,no,,no,no,,,,,,
,112736_605,,,,no,no,,no,no,,,,,,
,112675_601,,,,no,no,,no,no,,,,,,
,112544_123,5.0,,,yes,no,8.0,no,no,,,,,,
,112545_198,,,,no,no,,no,no,,,,,,
,112789_1024,,,,no,no,,no,no,,,,,,
,112855_110,,,,no,no,,no,no,,,,,,
,112624_185,,,,no,no,,no,no,,,,,,
,112765_212,,,,no,no,,no,no,,,,,,
